T3 Cantilever Beam - Medium Mesh
15 1 1 1
1 1 1 1 0.0 0.0 0.0
2 1 1 1 0.0 0.25 0.0
3 1 1 1 0.0 0.5 0.0
4 1 1 1 0.0 0.75 0.0
5 1 1 1 0.0 1.0 0.0
6 0 0 1 0.5 0.0 0.0
7 0 0 1 0.5 0.25 0.0
8 0 0 1 0.5 0.5 0.0
9 0 0 1 0.5 0.75 0.0
10 0 0 1 0.5 1.0 0.0
11 0 0 1 1.0 0.0 0.0
12 0 0 1 1.0 0.25 0.0
13 0 0 1 1.0 0.5 0.0
14 0 0 1 1.0 0.75 0.0
15 0 0 1 1.0 1.0 0.0
1
1
15 2 -1000.0
3 16 1
1 210000.0 0.3 1.0
1 1 6 7 1
2 1 7 2 1
3 2 7 8 1
4 2 8 3 1
5 3 8 9 1
6 3 9 4 1
7 4 9 10 1
8 4 10 5 1
9 6 11 12 1
10 6 12 7 1
11 7 12 13 1
12 7 13 8 1
13 8 13 14 1
14 8 14 9 1
15 9 14 15 1
16 9 15 10 1
